method_raw,method_id,parent_method,perturbation_axis,score,family
DRA,DRA,DRA,batch_number,0.1228004943800916,deep generative/autoencoder
DREAM,DREAM,DREAM,batch_number,0.2346611056350288,deep generative/autoencoder
EDGE,EDGE,EDGE,batch_number,0.6047432946958767,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,batch_number,0.5822375728962703,linear/probabilistic
PCA,PCA,PCA,batch_number,0.6230615936038728,linear/probabilistic
PHATE,PHATE,PHATE,batch_number,0.7509444010430857,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,batch_number,0.1612423976576456,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_number,0.7318519296756356,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_number,0.7226460330751955,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,batch_number,0.0967731072780321,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,batch_number,0.5684412422141812,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,batch_number,0.734441897406966,graph/diffusion
SPDR,SPDR,SPDR,batch_number,0.828186730149157,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,batch_number,0.4389382649974664,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,batch_number,0.6307819992621655,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,batch_number,0.1238912957608975,linear/probabilistic
TSNE,t-SNE,t-SNE,batch_number,0.8127512213431818,metric/structure-aware
TriMap,TriMap,TriMap,batch_number,0.831850874082982,metric/structure-aware
UMAP,UMAP,UMAP,batch_number,0.7114589363686984,graph/diffusion
VAE,VAE,VAE,batch_number,0.6998787746973938,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,batch_number,0.6164117674080922,linear/probabilistic
ivis,IVIS,IVIS,batch_number,0.4147993450872369,metric/structure-aware
pCMF,pCMF,pCMF,batch_number,0.0841578713968135,linear/probabilistic
scGAE,scGAE,scGAE,batch_number,0.1861098846400222,deep generative/autoencoder
scGBM,scGBM,scGBM,batch_number,0.5977214925743723,linear/probabilistic
scScope,scScope,scScope,batch_number,0.1211816426341798,deep generative/autoencoder
scvis,scvis,scvis,batch_number,0.1518117335397595,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,batch_number,0.6324226350305697,linear/probabilistic
DRA,DRA,DRA,batch_strength,0.0821565199607506,deep generative/autoencoder
DREAM,DREAM,DREAM,batch_strength,0.3518784368393156,deep generative/autoencoder
EDGE,EDGE,EDGE,batch_strength,0.6340310914466445,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,batch_strength,0.4371419213369575,linear/probabilistic
PCA,PCA,PCA,batch_strength,0.6483941740179835,linear/probabilistic
PHATE,PHATE,PHATE,batch_strength,0.7758320285952033,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,batch_strength,0.2073143894984769,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_strength,0.7823971672712663,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_strength,0.7796487722495822,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,batch_strength,0.2534541835016986,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,batch_strength,0.5808443621510366,deep generative/autoencoder
