method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds,source,method,language,role,install_channel,package_or_repo,environment,status,notes,commit
SAUCIE,SAUCIE,SAUCIE,100.0,0.289,1.2138,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,100.0,0.26,2.6305,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,100.0,0.722,7.3263,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,100.0,0.626,13.4948,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,100.0,0.514,3.3701,efficiency,,,,,,,,,
VASC,VASC,VASC,100.0,0.276,50.1786,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,100.0,0.156,0.1692,efficiency,,,,,,,,,
DRA,DRA,DRA,100.0,0.359,19.8257,efficiency,,,,,,,,,
VAE,VAE,VAE,100.0,0.549,11.9334,efficiency,,,,,,,,,
ivis,IVIS,IVIS,100.0,0.577,1.7547,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,100.0,0.151,20.487,efficiency,,,,,,,,,
scScope,scScope,scScope,100.0,0.544,2.8799,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,100.0,0.276,1.043,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,100.0,0.323,7.3422,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,100.0,0.241,1.0578,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,100.0,1.112,21.2281,efficiency,,,,,,,,,
scvis,scvis,scvis,100.0,0.243,211.6284,efficiency,,,,,,,,,
PCA,PCA,PCA,100.0,0.074,0.14,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,100.0,0.08,0.172,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,100.0,0.126,0.312,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,100.0,0.246,1.032,efficiency,,,,,,,,,
SIMLR,SIMLR,SIMLR,100.0,0.544,6.709,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,100.0,2.851,1.67,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,100.0,0.534,98.5127,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,100.0,0.123,70.587,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,100.0,1.361,2.9841,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,1000.0,0.317,2.1576,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,1000.0,0.281,8.8595,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,1000.0,0.741,8.8949,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,1000.0,0.829,23.9838,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,1000.0,0.702,11.2597,efficiency,,,,,,,,,
VASC,VASC,VASC,1000.0,0.35,293.7521,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,1000.0,0.23,2.8714,efficiency,,,,,,,,,
DRA,DRA,DRA,1000.0,0.411,90.3003,efficiency,,,,,,,,,
VAE,VAE,VAE,1000.0,0.584,34.6997,efficiency,,,,,,,,,
ivis,IVIS,IVIS,1000.0,0.657,3.6939,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,1000.0,0.266,137.2846,efficiency,,,,,,,,,
scScope,scScope,scScope,1000.0,0.585,25.4367,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,1000.0,0.291,1.3973,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,1000.0,0.39,17.2563,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,1000.0,0.264,3.8256,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,1000.0,1.12,78.4985,efficiency,,,,,,,,,
scvis,scvis,scvis,1000.0,0.276,1918.5078,efficiency,,,,,,,,,
PCA,PCA,PCA,1000.0,0.135,0.494,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,1000.0,0.146,2.728,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,1000.0,0.171,15.954,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,1000.0,0.329,6.733,efficiency,,,,,,,,,
SIMLR,SIMLR,SIMLR,1000.0,2.069,333.832,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,1000.0,2.876,7.205,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,1000.0,0.591,175.731,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,1000.0,0.187,344.814,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,1000.0,1.452,31.4526,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,10000.0,0.396,2.1906,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,10000.0,0.438,101.1721,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,10000.0,1.053,20.5021,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,10000.0,14.139,403.0337,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,10000.0,9.077,385.0757,efficiency,,,,,,,,,
VASC,VASC,VASC,10000.0,0.884,3279.3251,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,10000.0,0.577,25.2539,efficiency,,,,,,,,,
DRA,DRA,DRA,10000.0,0.678,977.6974,efficiency,,,,,,,,,
VAE,VAE,VAE,10000.0,0.906,276.0708,efficiency,,,,,,,,,
ivis,IVIS,IVIS,10000.0,0.76,30.0125,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,10000.0,1.542,1251.757,efficiency,,,,,,,,,
scScope,scScope,scScope,10000.0,2.122,265.2333,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,10000.0,0.414,8.8213,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,10000.0,1.153,349.379,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,10000.0,0.491,20.8543,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,10000.0,2.193,403.4404,efficiency,,,,,,,,,
scvis,scvis,scvis,10000.0,0.596,2013.3169,efficiency,,,,,,,,,
PCA,PCA,PCA,10000.0,0.492,2.47,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,10000.0,0.506,33.049,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,10000.0,0.628,102.51,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,10000.0,0.894,76.37,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,10000.0,4.131,292.73,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,10000.0,0.666,180.091,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,10000.0,0.783,2730.309,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,10000.0,3.108,1329.4604,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,2000.0,0.32,2.1064,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,2000.0,0.296,18.0011,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,2000.0,0.776,10.9978,efficiency,,,,,,,,,
SCDRHA,SCDRHA,SCDRHA,2000.0,1.355,34.2379,efficiency,,,,,,,,,
scGAE,scGAE,scGAE,2000.0,1.319,21.4132,efficiency,,,,,,,,,
VASC,VASC,VASC,2000.0,0.41,616.4961,efficiency,,,,,,,,,
PHATE,PHATE,PHATE,2000.0,0.401,11.9533,efficiency,,,,,,,,,
DRA,DRA,DRA,2000.0,0.439,191.9577,efficiency,,,,,,,,,
VAE,VAE,VAE,2000.0,0.625,56.8094,efficiency,,,,,,,,,
ivis,IVIS,IVIS,2000.0,0.675,6.929,efficiency,,,,,,,,,
ZIFA,ZIFA,ZIFA,2000.0,0.412,250.878,efficiency,,,,,,,,,
scScope,scScope,scScope,2000.0,0.647,54.3729,efficiency,,,,,,,,,
TriMap,TriMap,TriMap,2000.0,0.305,3.2175,efficiency,,,,,,,,,
SPDR,SPDR,SPDR,2000.0,0.464,33.7356,efficiency,,,,,,,,,
PaCMAP,PaCMAP,PaCMAP,2000.0,0.287,4.0356,efficiency,,,,,,,,,
DREAM,DREAM,DREAM,2000.0,1.132,119.4392,efficiency,,,,,,,,,
scvis,scvis,scvis,2000.0,0.308,1911.1657,efficiency,,,,,,,,,
PCA,PCA,PCA,2000.0,0.151,0.672,efficiency,,,,,,,,,
t-SNE,t-SNE,t-SNE,2000.0,0.168,5.787,efficiency,,,,,,,,,
GLMPCA,GLMPCA,GLMPCA,2000.0,0.236,15.841,efficiency,,,,,,,,,
scGBM,scGBM,scGBM,2000.0,0.382,11.398,efficiency,,,,,,,,,
SIMLR,SIMLR,SIMLR,2000.0,6.936,859.031,efficiency,,,,,,,,,
EDGE,EDGE,EDGE,2000.0,2.927,20.817,efficiency,,,,,,,,,
tGPLVM,tGPLVM,tGPLVM,2000.0,0.599,185.2611,efficiency,,,,,,,,,
pCMF,pCMF,pCMF,2000.0,0.241,655.566,efficiency,,,,,,,,,
SSNMDI,SSNMDI,SSNMDI,2000.0,1.623,78.2039,efficiency,,,,,,,,,
SAUCIE,SAUCIE,SAUCIE,20000.0,0.503,2.4304,efficiency,,,,,,,,,
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,20000.0,0.666,219.9959,efficiency,,,,,,,,,
UMAP,UMAP,UMAP,20000.0,1.339,21.0645,efficiency,,,,,,,,,
