method_raw,method_id,parent_method,perturbation_axis,score
DRA,DRA,DRA,batch_number,0.1228004943800916
DREAM,DREAM,DREAM,batch_number,0.2346611056350288
EDGE,EDGE,EDGE,batch_number,0.6047432946958767
GLMPCA,GLMPCA,GLMPCA,batch_number,0.5822375728962703
PCA,PCA,PCA,batch_number,0.6230615936038728
PHATE,PHATE,PHATE,batch_number,0.7509444010430857
PaCMAP,PaCMAP,PaCMAP,batch_number,0.1612423976576456
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_number,0.7318519296756356
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_number,0.7226460330751955
SAUCIE,SAUCIE,SAUCIE,batch_number,0.0967731072780321
SCDRHA,SCDRHA,SCDRHA,batch_number,0.5684412422141812
SIMLR,SIMLR,SIMLR,batch_number,0.734441897406966
SPDR,SPDR,SPDR,batch_number,0.828186730149157
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,batch_number,0.4389382649974664
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,batch_number,0.6307819992621655
SSNMDI,SSNMDI,SSNMDI,batch_number,0.1238912957608975
TSNE,t-SNE,t-SNE,batch_number,0.8127512213431818
TriMap,TriMap,TriMap,batch_number,0.831850874082982
UMAP,UMAP,UMAP,batch_number,0.7114589363686984
VAE,VAE,VAE,batch_number,0.6998787746973938
ZIFA,ZIFA,ZIFA,batch_number,0.6164117674080922
ivis,IVIS,IVIS,batch_number,0.4147993450872369
pCMF,pCMF,pCMF,batch_number,0.0841578713968135
scGAE,scGAE,scGAE,batch_number,0.1861098846400222
scGBM,scGBM,scGBM,batch_number,0.5977214925743723
scScope,scScope,scScope,batch_number,0.1211816426341798
scvis,scvis,scvis,batch_number,0.1518117335397595
tGPLVM,tGPLVM,tGPLVM,batch_number,0.6324226350305697
DRA,DRA,DRA,batch_strength,0.0821565199607506
DREAM,DREAM,DREAM,batch_strength,0.3518784368393156
EDGE,EDGE,EDGE,batch_strength,0.6340310914466445
GLMPCA,GLMPCA,GLMPCA,batch_strength,0.4371419213369575
PCA,PCA,PCA,batch_strength,0.6483941740179835
PHATE,PHATE,PHATE,batch_strength,0.7758320285952033
PaCMAP,PaCMAP,PaCMAP,batch_strength,0.2073143894984769
ParametricUMAP200,Parametric UMAP 200,UMAP,batch_strength,0.7823971672712663
ParametricUMAP50,Parametric UMAP 50,UMAP,batch_strength,0.7796487722495822
SAUCIE,SAUCIE,SAUCIE,batch_strength,0.2534541835016986
SCDRHA,SCDRHA,SCDRHA,batch_strength,0.5808443621510366
SIMLR,SIMLR,SIMLR,batch_strength,0.8334878435537535
SPDR,SPDR,SPDR,batch_strength,0.8264667231283578
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,batch_strength,0.458813918004395
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,batch_strength,0.7068702956246898
SSNMDI,SSNMDI,SSNMDI,batch_strength,0.1985116978210893
TSNE,t-SNE,t-SNE,batch_strength,0.7848551977001316
TriMap,TriMap,TriMap,batch_strength,0.8094769321154288
UMAP,UMAP,UMAP,batch_strength,0.7606701177924915
VAE,VAE,VAE,batch_strength,0.7382082870927953
ZIFA,ZIFA,ZIFA,batch_strength,0.6223631470037259
ivis,IVIS,IVIS,batch_strength,0.4213747112021974
pCMF,pCMF,pCMF,batch_strength,0.2964166369268523
scGAE,scGAE,scGAE,batch_strength,0.2912802778722371
scGBM,scGBM,scGBM,batch_strength,0.629440459246491
scScope,scScope,scScope,batch_strength,0.3312594971256926
scvis,scvis,scvis,batch_strength,0.518506847587674
tGPLVM,tGPLVM,tGPLVM,batch_strength,0.4485986140413407
DRA,DRA,DRA,cell_number,0.1535383598699765
DREAM,DREAM,DREAM,cell_number,0.3664763951258211
EDGE,EDGE,EDGE,cell_number,0.5464203446354687
GLMPCA,GLMPCA,GLMPCA,cell_number,0.5604109288696338
PCA,PCA,PCA,cell_number,0.6038211197703784
PHATE,PHATE,PHATE,cell_number,0.6312243922472263
PaCMAP,PaCMAP,PaCMAP,cell_number,0.1795242350833878
