method_raw,method_id,parent_method,score_domain,score
DRA,DRA,DRA,local,0.2032679503681033
DREAM,DREAM,DREAM,local,0.4449436645114304
EDGE,EDGE,EDGE,local,0.4892786262126192
GLMPCA,GLMPCA,GLMPCA,local,0.531259778612163
PCA,PCA,PCA,local,0.5074567132662589
PHATE,PHATE,PHATE,local,0.5686017316082013
PaCMAP,PaCMAP,PaCMAP,local,0.2954157800739314
ParametricUMAP200,Parametric UMAP 200,UMAP,local,0.5951516502507292
ParametricUMAP50,Parametric UMAP 50,UMAP,local,0.5905102957431956
SAUCIE,SAUCIE,SAUCIE,local,0.4427373038422977
SCDRHA,SCDRHA,SCDRHA,local,0.5319997323408233
SIMLR,SIMLR,SIMLR,local,0.5701726284325269
SPDR,SPDR,SPDR,local,0.6091308881853755
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,local,0.5398925997396424
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,local,0.6051404684878344
SSNMDI,SSNMDI,SSNMDI,local,0.2755219951340961
TSNE,t-SNE,t-SNE,local,0.5814595153513493
TriMap,TriMap,TriMap,local,0.6032353265399039
UMAP,UMAP,UMAP,local,0.5957865069885228
VAE,VAE,VAE,local,0.4674015254786871
VASC,VASC,VASC,local,0.5075645495937986
ZIFA,ZIFA,ZIFA,local,0.4890121894158761
ivis,IVIS,IVIS,local,0.522776027319176
pCMF,pCMF,pCMF,local,0.3867313701561368
scGAE,scGAE,scGAE,local,0.5220747406710486
scGBM,scGBM,scGBM,local,0.5416193573455529
scScope,scScope,scScope,local,0.4413166888137593
scvis,scvis,scvis,local,0.6070852578513585
tGPLVM,tGPLVM,tGPLVM,local,0.3639310616077475
DRA,DRA,DRA,global,0.3012807288211149
DREAM,DREAM,DREAM,global,0.578288297939532
EDGE,EDGE,EDGE,global,0.5180693200922843
GLMPCA,GLMPCA,GLMPCA,global,0.651949832821111
PCA,PCA,PCA,global,0.7027580770175762
PHATE,PHATE,PHATE,global,0.6554083269367512
PaCMAP,PaCMAP,PaCMAP,global,0.3666837378551715
ParametricUMAP200,Parametric UMAP 200,UMAP,global,0.6447870416650552
ParametricUMAP50,Parametric UMAP 50,UMAP,global,0.653867130313502
SAUCIE,SAUCIE,SAUCIE,global,0.6174676289710875
SCDRHA,SCDRHA,SCDRHA,global,0.6910066925480315
SIMLR,SIMLR,SIMLR,global,0.5683413368040419
SPDR,SPDR,SPDR,global,0.6376890721367113
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,global,0.7864235049042944
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,global,0.7028448367836448
SSNMDI,SSNMDI,SSNMDI,global,0.3241994824966703
TSNE,t-SNE,t-SNE,global,0.5970260528389916
TriMap,TriMap,TriMap,global,0.6994661169262986
UMAP,UMAP,UMAP,global,0.6314566903197647
VAE,VAE,VAE,global,0.5055493950178311
VASC,VASC,VASC,global,0.6367106437112424
ZIFA,ZIFA,ZIFA,global,0.6401720975632493
