method_id,C_10,C_20,C_30,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,T_30,aji_10,aji_20,aji_30,knn_10,knn_20,knn_30,nh_10,nh_20,nh_30,nkr_10,nkr_20,nkr_30,svm
DRA,0.5035000000000001,0.506,0.5065,0.5,0.5,0.5,0.5015000000000001,0.501,0.5015000000000001,0.501,0.503,0.504,0.003,0.005,0.008,0.244,0.258,0.266,0.229,0.228,0.228,0.005,0.01,0.015,0.2985
DREAM,0.6964999999999999,0.694,0.69,0.588,0.588,0.588,0.688,0.689,0.688,0.589,0.5894999999999999,0.591,0.005,0.009,0.013,0.5505,0.574,0.5609999999999999,0.453,0.439,0.429,0.009,0.018,0.025,0.571
EDGE,0.7805,0.7605,0.7525,0.688,0.688,0.686,0.794,0.783,0.777,0.689,0.6895,0.69,0.0125,0.0225,0.0315,0.878,0.849,0.83,0.828,0.774,0.74,0.0245,0.044,0.0605,0.8165
GLMPCA,0.8205,0.8075000000000001,0.796,0.684,0.684,0.683,0.828,0.821,0.816,0.6835,0.693,0.6944999999999999,0.011,0.019,0.0275,0.865,0.858,0.849,0.838,0.818,0.814,0.0205,0.037,0.0525,0.868
IVIS,0.826,0.823,0.813,0.669,0.669,0.668,0.812,0.815,0.818,0.6675,0.671,0.6745000000000001,0.0075,0.015,0.0215,0.7585,0.756,0.751,0.715,0.702,0.693,0.014,0.027,0.041,0.7705
PCA,0.8325,0.8205,0.813,0.682,0.684,0.686,0.829,0.828,0.826,0.6815,0.69,0.6895,0.01,0.019,0.028,0.857,0.8425,0.8365,0.808,0.786,0.765,0.02,0.037,0.053,0.856
PHATE,0.854,0.841,0.8325,0.713,0.713,0.713,0.865,0.856,0.85,0.714,0.716,0.718,0.014,0.0265,0.038,0.9624999999999999,0.9564999999999999,0.955,0.947,0.938,0.936,0.028,0.05,0.074,0.9635
PaCMAP,0.517,0.5145,0.512,0.506,0.506,0.505,0.517,0.514,0.513,0.507,0.507,0.5085,0.003,0.005,0.008,0.25,0.261,0.274,0.23,0.228,0.229,0.005,0.01,0.015,0.301
Parametric UMAP 200,0.8694999999999999,0.843,0.8294999999999999,0.715,0.714,0.711,0.888,0.875,0.865,0.7075,0.7084999999999999,0.7095,0.018,0.029,0.039,0.949,0.931,0.919,0.921,0.889,0.871,0.04,0.059,0.078,0.903
Parametric UMAP 50,0.8674999999999999,0.8405,0.8305,0.715,0.712,0.708,0.886,0.872,0.865,0.707,0.7055,0.706,0.017,0.027,0.038,0.948,0.931,0.917,0.918,0.892,0.875,0.036,0.056,0.075,0.92
SAUCIE,0.517,0.518,0.5175000000000001,0.549,0.551,0.553,0.52,0.521,0.522,0.5525,0.5565,0.5585,0.004,0.007,0.01,0.3035,0.336,0.34550000000000003,0.283,0.281,0.264,0.007,0.013,0.019,0.364
SCDRHA,0.748,0.739,0.74,0.695,0.694,0.694,0.754,0.75,0.741,0.709,0.705,0.705,0.013,0.023,0.032,0.854,0.848,0.838,0.81,0.802,0.788,0.024,0.042,0.059,0.83
SIMLR,0.761,0.753,0.7484999999999999,0.7384999999999999,0.733,0.7315,0.7755000000000001,0.769,0.7595000000000001,0.737,0.7304999999999999,0.724,0.023,0.042,0.0575,0.9764999999999999,0.9664999999999999,0.965,0.963,0.9564999999999999,0.95,0.04,0.066,0.0885,0.9644999999999999
SPDR,0.8554999999999999,0.843,0.833,0.755,0.759,0.757,0.869,0.858,0.85,0.7595000000000001,0.773,0.772,0.018,0.036000000000000004,0.055,0.9764999999999999,0.9704999999999999,0.9695,0.954,0.955,0.959,0.0325,0.065,0.099,0.978
SQuaD-MDS,0.806,0.8065,0.809,0.635,0.637,0.638,0.808,0.808,0.804,0.638,0.6435,0.6485000000000001,0.006,0.0125,0.0185,0.6445000000000001,0.661,0.662,0.541,0.541,0.533,0.0115,0.023,0.035,0.6655
SQuaD-MDS hybrid,0.875,0.8565,0.847,0.711,0.708,0.707,0.893,0.884,0.879,0.6970000000000001,0.7004999999999999,0.704,0.016,0.0295,0.041999999999999996,0.892,0.884,0.87,0.839,0.83,0.807,0.049,0.065,0.085,0.8855
SSNMDI,0.5025,0.503,0.505,0.506,0.506,0.506,0.507,0.507,0.506,0.506,0.509,0.509,0.003,0.005,0.008,0.25,0.2625,0.274,0.23,0.229,0.229,0.005,0.01,0.015,0.302
TriMap,0.8505,0.843,0.8354999999999999,0.751,0.757,0.754,0.866,0.856,0.85,0.7565,0.765,0.77,0.017,0.0335,0.0505,0.9855,0.9775,0.9775,0.968,0.965,0.963,0.031,0.061,0.0925,0.986
UMAP,0.869,0.8465,0.8294999999999999,0.711,0.71,0.709,0.881,0.871,0.865,0.702,0.704,0.7004999999999999,0.018,0.029,0.0395,0.944,0.9215,0.907,0.91,0.88,0.857,0.0385,0.058,0.078,0.904
VAE,0.798,0.78,0.7665,0.718,0.714,0.711,0.811,0.797,0.793,0.708,0.7044999999999999,0.706,0.016,0.029,0.043,0.9315,0.9295,0.9295,0.904,0.895,0.89,0.031,0.0565,0.081,0.926
VASC,0.8485,0.8434999999999999,0.8405,0.727,0.7224999999999999,0.717,0.854,0.8445,0.838,0.732,0.7224999999999999,0.7215,0.022,0.038,0.054,0.8505,0.8160000000000001,0.806,0.82,0.7535000000000001,0.7415,0.0435,0.07,0.0925,0.832
ZIFA,0.811,0.8,0.793,0.6775,0.6785000000000001,0.6785000000000001,0.8185,0.809,0.8035000000000001,0.676,0.681,0.684,0.01,0.019,0.027,0.8645,0.8525,0.8405,0.815,0.785,0.7735000000000001,0.02,0.036,0.0525,0.866
pCMF,0.5575000000000001,0.56,0.5555000000000001,0.529,0.529,0.529,0.561,0.56,0.559,0.5235000000000001,0.5255000000000001,0.528,0.003,0.005,0.008,0.2625,0.2875,0.293,0.248,0.247,0.242,0.0055,0.01,0.015,0.31
scGAE,0.579,0.5774999999999999,0.577,0.655,0.653,0.651,0.581,0.587,0.583,0.646,0.6415,0.6325000000000001,0.007,0.013,0.0185,0.6635,0.6375,0.6335,0.597,0.556,0.52,0.014,0.0235,0.0325,0.596
scGBM,0.832,0.824,0.8154999999999999,0.683,0.682,0.681,0.84,0.832,0.826,0.6765000000000001,0.6825000000000001,0.6890000000000001,0.010499999999999999,0.0195,0.0285,0.875,0.874,0.8714999999999999,0.841,0.831,0.826,0.02,0.038,0.0545,0.8845000000000001
scScope,0.6205,0.6194999999999999,0.6094999999999999,0.623,0.619,0.618,0.606,0.601,0.6,0.619,0.615,0.6125,0.008,0.015,0.0205,0.5205,0.5255000000000001,0.506,0.402,0.397,0.379,0.016,0.026,0.037,0.51
scvis,0.8194999999999999,0.8185,0.819,0.637,0.638,0.638,0.838,0.83,0.826,0.6355,0.64,0.6405000000000001,0.0075,0.0125,0.0175,0.505,0.5145,0.5055000000000001,0.43,0.425,0.418,0.015,0.025500000000000002,0.034,0.532
t-SNE,0.847,0.8294999999999999,0.8185,0.748,0.749,0.75,0.86,0.852,0.846,0.746,0.753,0.7535000000000001,0.018,0.033,0.047,0.9735,0.967,0.961,0.951,0.933,0.932,0.033,0.0615,0.0875,0.967
tGPLVM,0.7585,0.752,0.7464999999999999,0.636,0.637,0.636,0.751,0.749,0.749,0.6375,0.64,0.642,0.009,0.017,0.024,0.653,0.666,0.661,0.54,0.529,0.523,0.017,0.033,0.0465,0.644
