method_id,AUC,Pearson,Qglobal,centroid_distance,k-nearest,random_triplet,spearman
DRA,0.501,0.025500000000000002,0.733,0.5205,0.333,0.502,0.016
DREAM,0.556,0.318,0.76,0.765,0.5914999999999999,0.5805,0.2585
EDGE,0.5734999999999999,0.181,0.6715,0.654,0.5,0.5745,0.1735
GLMPCA,0.6134999999999999,0.316,0.7175,0.793,0.6,0.631,0.3515
IVIS,0.607,0.298,0.723,0.742,0.5805,0.6245,0.3045
PCA,0.6134999999999999,0.532,0.762,0.8414999999999999,0.6,0.6445000000000001,0.48350000000000004
PHATE,0.606,0.335,0.6955,0.807,0.667,0.6085,0.3
PaCMAP,0.5015000000000001,0.018,0.659,0.455,0.333,0.505,0.006
Parametric UMAP 200,0.606,0.27,0.6975,0.78,0.6,0.617,0.279
Parametric UMAP 50,0.608,0.251,0.686,0.745,0.6,0.61,0.272
SAUCIE,0.542,0.209,0.892,0.578,0.4,0.5525,0.1865
SCDRHA,0.601,0.466,0.787,0.751,0.5,0.632,0.437
SIMLR,0.612,0.367,0.696,0.66,0.444,0.629,0.33
SPDR,0.62,0.286,0.6725000000000001,0.671,0.6,0.613,0.2935
SQuaD-MDS,0.667,0.658,0.8205,0.8225,0.6,0.7424999999999999,0.685
SQuaD-MDS hybrid,0.6134999999999999,0.428,0.703,0.8035000000000001,0.6,0.633,0.3935
SSNMDI,0.501,0.018,0.6085,0.377,0.2,0.502,0.012
TriMap,0.6255,0.405,0.7324999999999999,0.812,0.655,0.63,0.388
UMAP,0.6034999999999999,0.275,0.6835,0.753,0.6,0.6045,0.271
VAE,0.5765,0.206,0.6545000000000001,0.6425000000000001,0.5,0.588,0.223
VASC,0.635,0.483,0.8005,0.7995000000000001,0.7135,0.6595,0.525
ZIFA,0.608,0.37,0.74,0.788,0.6,0.628,0.356
pCMF,0.5235000000000001,0.175,0.792,0.5675,0.306,0.5345,0.176
scGAE,0.5485,0.209,0.788,0.636,0.4915,0.553,0.2055
scGBM,0.609,0.312,0.722,0.795,0.618,0.63,0.3535
scScope,0.546,0.243,0.751,0.6134999999999999,0.4525,0.555,0.224
scvis,0.625,0.467,0.87,0.6565000000000001,0.4145,0.6555,0.497
t-SNE,0.608,0.277,0.6895,0.589,0.441,0.621,0.323
tGPLVM,0.574,0.246,0.746,0.773,0.5615,0.583,0.206
