method_raw,method_id,parent_method,n_cells,peak_memory_gb,runtime_seconds
SAUCIE,SAUCIE,SAUCIE,100,0.289,1.2138
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,100,0.26,2.6305
UMAP,UMAP,UMAP,100,0.722,7.3263
SCDRHA,SCDRHA,SCDRHA,100,0.626,13.4948
scGAE,scGAE,scGAE,100,0.514,3.3701
VASC,VASC,VASC,100,0.276,50.1786
PHATE,PHATE,PHATE,100,0.156,0.1692
DRA,DRA,DRA,100,0.359,19.8257
VAE,VAE,VAE,100,0.549,11.9334
ivis,IVIS,IVIS,100,0.577,1.7547
ZIFA,ZIFA,ZIFA,100,0.151,20.487
scScope,scScope,scScope,100,0.544,2.8799
TriMap,TriMap,TriMap,100,0.276,1.043
SPDR,SPDR,SPDR,100,0.323,7.3422
PaCMAP,PaCMAP,PaCMAP,100,0.241,1.0578
DREAM,DREAM,DREAM,100,1.112,21.2281
scvis,scvis,scvis,100,0.243,211.6284
PCA,PCA,PCA,100,0.074,0.14
t-SNE,t-SNE,t-SNE,100,0.08,0.172
GLMPCA,GLMPCA,GLMPCA,100,0.126,0.312
scGBM,scGBM,scGBM,100,0.246,1.032
SIMLR,SIMLR,SIMLR,100,0.544,6.709
EDGE,EDGE,EDGE,100,2.851,1.67
tGPLVM,tGPLVM,tGPLVM,100,0.534,98.5127
pCMF,pCMF,pCMF,100,0.123,70.587
SSNMDI,SSNMDI,SSNMDI,100,1.361,2.9841
SAUCIE,SAUCIE,SAUCIE,1000,0.317,2.1576
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,1000,0.281,8.8595
UMAP,UMAP,UMAP,1000,0.741,8.8949
SCDRHA,SCDRHA,SCDRHA,1000,0.829,23.9838
scGAE,scGAE,scGAE,1000,0.702,11.2597
VASC,VASC,VASC,1000,0.35,293.7521
PHATE,PHATE,PHATE,1000,0.23,2.8714
DRA,DRA,DRA,1000,0.411,90.3003
VAE,VAE,VAE,1000,0.584,34.6997
ivis,IVIS,IVIS,1000,0.657,3.6939
ZIFA,ZIFA,ZIFA,1000,0.266,137.2846
scScope,scScope,scScope,1000,0.585,25.4367
TriMap,TriMap,TriMap,1000,0.291,1.3973
SPDR,SPDR,SPDR,1000,0.39,17.2563
PaCMAP,PaCMAP,PaCMAP,1000,0.264,3.8256
DREAM,DREAM,DREAM,1000,1.12,78.4985
scvis,scvis,scvis,1000,0.276,1918.5078
PCA,PCA,PCA,1000,0.135,0.494
t-SNE,t-SNE,t-SNE,1000,0.146,2.728
GLMPCA,GLMPCA,GLMPCA,1000,0.171,15.954
scGBM,scGBM,scGBM,1000,0.329,6.733
SIMLR,SIMLR,SIMLR,1000,2.069,333.832
EDGE,EDGE,EDGE,1000,2.876,7.205
tGPLVM,tGPLVM,tGPLVM,1000,0.591,175.731
pCMF,pCMF,pCMF,1000,0.187,344.814
SSNMDI,SSNMDI,SSNMDI,1000,1.452,31.4526
SAUCIE,SAUCIE,SAUCIE,10000,0.396,2.1906
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,10000,0.438,101.1721
UMAP,UMAP,UMAP,10000,1.053,20.5021
SCDRHA,SCDRHA,SCDRHA,10000,14.139,403.0337
scGAE,scGAE,scGAE,10000,9.077,385.0757
VASC,VASC,VASC,10000,0.884,3279.3251
PHATE,PHATE,PHATE,10000,0.577,25.2539
DRA,DRA,DRA,10000,0.678,977.6974
VAE,VAE,VAE,10000,0.906,276.0708
ivis,IVIS,IVIS,10000,0.76,30.0125
ZIFA,ZIFA,ZIFA,10000,1.542,1251.757
scScope,scScope,scScope,10000,2.122,265.2333
TriMap,TriMap,TriMap,10000,0.414,8.8213
SPDR,SPDR,SPDR,10000,1.153,349.379
PaCMAP,PaCMAP,PaCMAP,10000,0.491,20.8543
DREAM,DREAM,DREAM,10000,2.193,403.4404
scvis,scvis,scvis,10000,0.596,2013.3169
PCA,PCA,PCA,10000,0.492,2.47
t-SNE,t-SNE,t-SNE,10000,0.506,33.049
GLMPCA,GLMPCA,GLMPCA,10000,0.628,102.51
scGBM,scGBM,scGBM,10000,0.894,76.37
EDGE,EDGE,EDGE,10000,4.131,292.73
tGPLVM,tGPLVM,tGPLVM,10000,0.666,180.091
pCMF,pCMF,pCMF,10000,0.783,2730.309
SSNMDI,SSNMDI,SSNMDI,10000,3.108,1329.4604
SAUCIE,SAUCIE,SAUCIE,2000,0.32,2.1064
SQuaD-MDS,SQuaD-MDS,SQuaD-MDS,2000,0.296,18.0011
UMAP,UMAP,UMAP,2000,0.776,10.9978
SCDRHA,SCDRHA,SCDRHA,2000,1.355,34.2379
scGAE,scGAE,scGAE,2000,1.319,21.4132
VASC,VASC,VASC,2000,0.41,616.4961
PHATE,PHATE,PHATE,2000,0.401,11.9533
DRA,DRA,DRA,2000,0.439,191.9577
VAE,VAE,VAE,2000,0.625,56.8094
