method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,AUC,0.626,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,Pearson,0.62,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,Qglobal,0.694,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,Qlocal,0.276,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,centroid_distance,0.856,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,k-nearest,0.848,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,kmax,40.0,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,random_triplet,0.647,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,spearman,0.605,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,svm,0.787,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,AUC,0.553,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,Pearson,0.152,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,Qglobal,0.659,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,Qlocal,0.171,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,centroid_distance,0.904,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,k-nearest,0.25,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,kmax,135.0,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,random_triplet,0.554,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,spearman,0.139,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,svm,0.855,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,AUC,0.763,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.586,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.864,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.407,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.988,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,1.0,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,60.0,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.831,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.826,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.964,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.8,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.573,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.906,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.483,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.959,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.778,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,40.0,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.851,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.895,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.649,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.823,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.851,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.895,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.558,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.918,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.833,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,56.0,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.847,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.892,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.776,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.828,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.877,TI,blastocyst,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.881,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.526,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.913,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.795,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,50.0,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.847,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.908,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.767,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.606,TI,combination-1,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.744,TI,combination-1,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.854,TI,combination-1,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.378,TI,combination-1,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.925,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.857,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,2236.0,TI,combination-1,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.652,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.619,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.795,TI,combination-1,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.599,TI,combination-2,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.634,TI,combination-2,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.826,TI,combination-2,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.342,TI,combination-2,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.467,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.611,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,2037.0,TI,combination-2,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.648,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.528,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.628,TI,combination-2,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.587,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.648,TI,combination-3,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.784,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.301,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.808,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.571,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,924.0,TI,combination-3,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.625,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.466,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.55,TI,combination-3,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.79,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.772,TI,epiblast,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.871,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.466,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.989,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.929,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,35.0,TI,epiblast,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.858,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.878,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.857,TI,epiblast,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.616,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,Pearson,0.643,TI,epidermis,dr3,0,trajectory,other
PCA,PCA,PCA,Qglobal,0.759,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.278,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,0.882,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,0.8,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,1189.0,TI,epidermis,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.664,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.571,TI,epidermis,dr1,0,trajectory,other
PCA,PCA,PCA,svm,0.858,TI,epidermis,dr1,0,trajectory,other
