parent_method,score,perturbation_axis,method_order,panel_source,method_id,method_raw,metric,value,dataset_category,dataset_id,structure_table,collection,sim_axis,clustering_algorithm
PCA,0.616455363476588,cell_number,0,stability,,,,,,,,,,
PCA,0.701153535610611,gene_number,0,stability,,,,,,,,,,
PCA,0.5061927877835251,celltype_number,0,stability,,,,,,,,,,
PCA,0.6179425051771087,dropout,0,stability,,,,,,,,,,
PCA,0.6370603464473887,batch_number,0,stability,,,,,,,,,,
PCA,0.7475051254619544,de_strength,0,stability,,,,,,,,,,
PCA,0.7168465228064798,de_prob,0,stability,,,,,,,,,,
PCA,0.6433135268166096,batch_strength,0,stability,,,,,,,,,,
PCA,0.729304351335709,out,0,stability,,,,,,,,,,
GLMPCA,0.5976497439306158,batch_number,1,stability,,,,,,,,,,
GLMPCA,0.7159939504426038,de_strength,1,stability,,,,,,,,,,
GLMPCA,0.7020876304536972,de_prob,1,stability,,,,,,,,,,
GLMPCA,0.6283380253013339,dropout,1,stability,,,,,,,,,,
GLMPCA,0.573507819771753,cell_number,1,stability,,,,,,,,,,
GLMPCA,0.4885715914178216,celltype_number,1,stability,,,,,,,,,,
GLMPCA,0.6860977816362185,gene_number,1,stability,,,,,,,,,,
GLMPCA,0.4465311847917548,batch_strength,1,stability,,,,,,,,,,
GLMPCA,0.7102303077266148,out,1,stability,,,,,,,,,,
pCMF,0.1561589731092854,dropout,2,stability,,,,,,,,,,
pCMF,0.1099483188463704,batch_number,2,stability,,,,,,,,,,
pCMF,0.3132959148676938,batch_strength,2,stability,,,,,,,,,,
pCMF,0.1101096739498283,de_prob,2,stability,,,,,,,,,,
pCMF,0.3030845589041862,de_strength,2,stability,,,,,,,,,,
pCMF,0.093188419901329,out,2,stability,,,,,,,,,,
pCMF,0.1692366377780177,cell_number,2,stability,,,,,,,,,,
pCMF,0.1572123814026007,celltype_number,2,stability,,,,,,,,,,
pCMF,0.1088272467791159,gene_number,2,stability,,,,,,,,,,
ZIFA,0.673999358565281,dropout,3,stability,,,,,,,,,,
ZIFA,0.4504217952153372,celltype_number,3,stability,,,,,,,,,,
ZIFA,0.6097001344232774,cell_number,3,stability,,,,,,,,,,
ZIFA,0.6306609855427232,batch_number,3,stability,,,,,,,,,,
ZIFA,0.6921109775991681,gene_number,3,stability,,,,,,,,,,
ZIFA,0.7226385548239901,out,3,stability,,,,,,,,,,
ZIFA,0.7494171728222515,de_strength,3,stability,,,,,,,,,,
ZIFA,0.7122775690719275,de_prob,3,stability,,,,,,,,,,
ZIFA,0.6138883905653001,batch_strength,3,stability,,,,,,,,,,
scGBM,0.631828944810057,dropout,4,stability,,,,,,,,,,
scGBM,0.6129803794053647,batch_number,4,stability,,,,,,,,,,
scGBM,0.5899547568751836,cell_number,4,stability,,,,,,,,,,
scGBM,0.4703381460364417,celltype_number,4,stability,,,,,,,,,,
scGBM,0.6689837489050527,gene_number,4,stability,,,,,,,,,,
scGBM,0.6785472695245313,de_prob,4,stability,,,,,,,,,,
scGBM,0.7112248120683613,de_strength,4,stability,,,,,,,,,,
scGBM,0.6949116817668466,out,4,stability,,,,,,,,,,
scGBM,0.6245526577221584,batch_strength,4,stability,,,,,,,,,,
SSNMDI,0.1059946800597119,out,5,stability,,,,,,,,,,
SSNMDI,0.1221004681041323,de_prob,5,stability,,,,,,,,,,
SSNMDI,0.2124209163069373,batch_strength,5,stability,,,,,,,,,,
SSNMDI,0.0992421764466841,de_strength,5,stability,,,,,,,,,,
SSNMDI,0.1475281067854222,batch_number,5,stability,,,,,,,,,,
SSNMDI,0.1283489757314842,dropout,5,stability,,,,,,,,,,
SSNMDI,0.1777065006922351,celltype_number,5,stability,,,,,,,,,,
SSNMDI,0.1244986619464739,gene_number,5,stability,,,,,,,,,,
SSNMDI,0.1810331508033995,cell_number,5,stability,,,,,,,,,,
tGPLVM,0.7216531420957536,out,6,stability,,,,,,,,,,
