category,dataset,cells,genes,sparsity_pct,cell_types,size_mb,Unnamed: 7,dataset_type,atlas_layer
SIMLR,SIMLR/Pollen,249.0,3000.0,27.9,11.0,11.0,,real,explicit_excel_detail_or_repository_snapshot
SIMLR,SIMLR/Usoskin,622.0,3000.0,76.2,4.0,14.0,,real,explicit_excel_detail_or_repository_snapshot
VASC,VASC/Baron,8569.0,3000.0,91.5,14.0,130.0,,real,explicit_excel_detail_or_repository_snapshot
VASC,VASC/Biase,56.0,3000.0,54.7,4.0,2.0,,real,explicit_excel_detail_or_repository_snapshot
VASC,VASC/Goolam,124.0,3000.0,56.9,5.0,4.0,,real,explicit_excel_detail_or_repository_snapshot
VASC,VASC/Xin,1600.0,3000.0,92.8,8.0,24.0,,real,explicit_excel_detail_or_repository_snapshot
VASC,VASC/Zeisel,3005.0,3000.0,88.0,9.0,50.0,,real,explicit_excel_detail_or_repository_snapshot
VASC,VASC/yan,90.0,3000.0,52.1,6.0,3.0,,real,explicit_excel_detail_or_repository_snapshot
benchmarker,benchmarker/Baron_mouse,1886.0,3000.0,91.4,13.0,29.0,,real,explicit_excel_detail_or_repository_snapshot
benchmarker,benchmarker/Darmanis,420.0,3000.0,88.1,8.0,7.0,,real,explicit_excel_detail_or_repository_snapshot
benchmarker,benchmarker/Pancreatic,60.0,3000.0,84.3,6.0,2.0,,real,explicit_excel_detail_or_repository_snapshot
benchmarker,benchmarker/Silver,2590.0,3000.0,89.0,11.0,42.0,,real,explicit_excel_detail_or_repository_snapshot
benchmarker,benchmarker/Zhengmix4eq,3994.0,3000.0,96.4,4.0,52.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/ACINAR,1000.0,3043.0,28.8,2851.0,7.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/ATAC,1133.0,7034.0,93.3,1.0,16.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/BATCH,1000.0,6276.0,78.1,9.0,13.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/CITE,1010.0,8617.0,76.3,1.0,18.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/EMBYRO,1000.0,1289.0,45.6,5.0,4.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/IFNB,1000.0,13999.0,82.8,2.0,28.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/MARROW,1000.0,2660.0,72.1,2.0,6.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/MOBSC,182.0,12640.0,75.7,4.0,13.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/MOBSP,182.0,278.0,32.5,266.0,1.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/OVARIAN,1000.0,3455.0,33.7,1.0,8.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/PANCREAS,1000.0,2087.0,54.0,4.0,5.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/SCGEMMETH,27.0,142.0,36.2,130.0,1.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/SCGEMRNA,32.0,177.0,59.6,168.0,1.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/SCIATAC,3836.0,4024.0,98.2,4024.0,30.0,,real,explicit_excel_detail_or_repository_snapshot
