method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,Mrre_missing_10,0.786,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,Mrre_missing_20,0.782,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,Mrre_missing_30,0.77,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,aji_10,0.108,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,aji_20,0.215,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,aji_30,0.255,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,nkr_10,0.173,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,nkr_20,0.311,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,nkr_30,0.369,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,Mrre_missing_10,0.464,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,Mrre_missing_20,0.461,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,Mrre_missing_30,0.459,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,aji_10,0.021,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,aji_20,0.036,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,aji_30,0.056,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,nkr_10,0.038,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,nkr_20,0.06,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,nkr_30,0.088,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,Mrre_missing_10,0.866,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.865,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.864,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.096,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.192,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.297,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.167,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.311,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.441,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.887,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.888,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.886,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.177,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.35,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.512,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.305,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.521,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.676,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_10,0.921,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_20,0.921,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,Mrre_missing_30,0.92,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,aji_10,0.192,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,aji_20,0.352,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,aji_30,0.526,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_10,0.33,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_20,0.511,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,nkr_30,0.659,TI,ICM,dr1,0,trajectory,other
