method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,C_10,0.797,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,C_20,0.8,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,C_30,0.769,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,T_10,0.71,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,T_20,0.708,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,T_30,0.701,SIMLR,Pollen,dr2,0,SIMLR,other
PCA,PCA,PCA,knn_10,0.831,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,knn_20,0.78,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,knn_30,0.707,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,nh_10,0.746,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,nh_20,0.648,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,nh_30,0.571,SIMLR,Pollen,dr3,0,SIMLR,other
PCA,PCA,PCA,svm,0.787,SIMLR,Pollen,dr1,0,SIMLR,other
PCA,PCA,PCA,C_10,0.469,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,C_20,0.463,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,C_30,0.46,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,T_10,0.642,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,T_20,0.646,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,T_30,0.649,SIMLR,Usoskin,dr2,0,SIMLR,other
PCA,PCA,PCA,knn_10,0.854,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,knn_20,0.841,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,knn_30,0.839,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,nh_10,0.814,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,nh_20,0.798,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,nh_30,0.784,SIMLR,Usoskin,dr3,0,SIMLR,other
PCA,PCA,PCA,svm,0.855,SIMLR,Usoskin,dr1,0,SIMLR,other
PCA,PCA,PCA,C_10,0.875,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.888,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.9,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.853,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.873,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.889,TI,DA1_horns,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.971,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.971,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.968,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.953,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.946,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.943,TI,DA1_horns,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.964,TI,DA1_horns,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.915,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.936,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.952,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.903,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.932,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.949,TI,DC3_VA1d_horns,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.662,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.685,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.643,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.627,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.603,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.583,TI,DC3_VA1d_horns,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.649,TI,DC3_VA1d_horns,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.934,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.947,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.957,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.926,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.94,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.95,TI,ICM,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.805,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.812,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.761,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.765,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.735,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.715,TI,ICM,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.776,TI,ICM,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.953,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.959,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.964,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.939,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.939,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.946,TI,blastocyst,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.793,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.782,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.747,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.762,TI,blastocyst,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.711,TI,blastocyst,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.675,TI,blastocyst,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.767,TI,blastocyst,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.781,TI,combination-1,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.77,TI,combination-1,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.763,TI,combination-1,dr2,0,trajectory,other
