method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric,method_order,collection,sim_axis
PCA,0.65,PCA,PCA,SIMLR,Pollen,kmeans,ARI,0,SIMLR,other
PCA,0.8,PCA,PCA,SIMLR,Pollen,kmeans,COMP,0,SIMLR,other
PCA,0.77,PCA,PCA,SIMLR,Pollen,kmeans,HOMO,0,SIMLR,other
PCA,0.78,PCA,PCA,SIMLR,Pollen,kmeans,NMI,0,SIMLR,other
PCA,0.55,PCA,PCA,SIMLR,Pollen,kmeans,SIL,0,SIMLR,other
PCA,0.59,PCA,PCA,SIMLR,Pollen,louvain,ARI,0,SIMLR,other
PCA,0.74,PCA,PCA,SIMLR,Pollen,louvain,COMP,0,SIMLR,other
PCA,0.72,PCA,PCA,SIMLR,Pollen,louvain,HOMO,0,SIMLR,other
PCA,0.73,PCA,PCA,SIMLR,Pollen,louvain,NMI,0,SIMLR,other
PCA,0.48,PCA,PCA,SIMLR,Pollen,louvain,SIL,0,SIMLR,other
PCA,0.59,PCA,PCA,SIMLR,Pollen,spectral,ARI,0,SIMLR,other
PCA,0.72,PCA,PCA,SIMLR,Pollen,spectral,COMP,0,SIMLR,other
PCA,0.74,PCA,PCA,SIMLR,Pollen,spectral,HOMO,0,SIMLR,other
PCA,0.73,PCA,PCA,SIMLR,Pollen,spectral,NMI,0,SIMLR,other
PCA,0.47,PCA,PCA,SIMLR,Pollen,spectral,SIL,0,SIMLR,other
PCA,0.39,PCA,PCA,SIMLR,Usoskin,kmeans,ARI,0,SIMLR,other
PCA,0.43,PCA,PCA,SIMLR,Usoskin,kmeans,COMP,0,SIMLR,other
PCA,0.45,PCA,PCA,SIMLR,Usoskin,kmeans,HOMO,0,SIMLR,other
PCA,0.44,PCA,PCA,SIMLR,Usoskin,kmeans,NMI,0,SIMLR,other
PCA,0.44,PCA,PCA,SIMLR,Usoskin,kmeans,SIL,0,SIMLR,other
PCA,0.21,PCA,PCA,SIMLR,Usoskin,louvain,ARI,0,SIMLR,other
PCA,0.32,PCA,PCA,SIMLR,Usoskin,louvain,COMP,0,SIMLR,other
PCA,0.63,PCA,PCA,SIMLR,Usoskin,louvain,HOMO,0,SIMLR,other
PCA,0.42,PCA,PCA,SIMLR,Usoskin,louvain,NMI,0,SIMLR,other
PCA,0.32,PCA,PCA,SIMLR,Usoskin,louvain,SIL,0,SIMLR,other
PCA,0.27,PCA,PCA,SIMLR,Usoskin,spectral,ARI,0,SIMLR,other
PCA,0.38,PCA,PCA,SIMLR,Usoskin,spectral,COMP,0,SIMLR,other
PCA,0.38,PCA,PCA,SIMLR,Usoskin,spectral,HOMO,0,SIMLR,other
PCA,0.38,PCA,PCA,SIMLR,Usoskin,spectral,NMI,0,SIMLR,other
PCA,0.38,PCA,PCA,SIMLR,Usoskin,spectral,SIL,0,SIMLR,other
PCA,0.91,PCA,PCA,TI,DA1_horns,kmeans,ARI,0,trajectory,other
PCA,0.92,PCA,PCA,TI,DA1_horns,kmeans,COMP,0,trajectory,other
PCA,0.92,PCA,PCA,TI,DA1_horns,kmeans,HOMO,0,trajectory,other
PCA,0.92,PCA,PCA,TI,DA1_horns,kmeans,NMI,0,trajectory,other
