method_order,method_id,completed_100_cells,completed_500_cells,completed_1000_cells,completed_2000_cells,completed_5000_cells,completed_10000_cells,completed_20000_cells,completed_30000_cells,completed_50000_cells,completed_73233_cells,completed_levels,missing_levels,largest_completed_cells,missing_cell_levels,language,role,install_channel,package_or_repo,environment,status,notes,efficiency_rows,median_runtime_seconds,max_runtime_seconds,median_peak_memory_gb,max_peak_memory_gb,largest_efficiency_scale_cells
1,PCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,R,Baseline,conda,r-base,R benchmark,installed_verified,Use stats::prcomp from the R base stats package.,10,2.25,13.89,0.3765,2.75,73233
2,GLMPCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,R,Latent-dimension sensitivity,R,glmpca,R benchmark,installed_verified,Install from CRAN/r-universe or GitHub if needed.,10,60.29900000000001,821.787,0.5355,5.027,73233
3,pCMF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,R,Latent-dimension sensitivity,manual_source,pCMF,R benchmark,installed_verified,Table S1 points to DRComparison data rather than a standalone pCMF package.,10,2063.7345,18998.695,0.6185,4.882,73233
4,ZIFA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Latent-dimension sensitivity,manual_source,ZIFA,Python legacy,installed_verified,Table S1 points to DRComparison data; identify usable Python implementation before running.,10,937.9589000000001,9119.3146,1.183,10.25,73233
5,scGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,R,Latent-dimension sensitivity,R,scGBM,R benchmark,installed_verified,Install from GitHub with remotes.,10,57.063,573.543,0.7424999999999999,5.252,73233
6,SSNMDI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k,MATLAB,Label-sensitive method,git,SSNMDI,octave,Source import verified,Extracted MATLAB source; Octave 10.3 smoke test loaded Zheng_pre.mat and executed constructW.,8,218.68099999999998,12040.6073,1.8725,10.657,30000
7,tGPLVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Optional latent method,git,tGPLVM,Python 3.6 tGPLVM,Source import verified,Source compiles and smoke run completed on bundled Test_3_Pollen.h5 in isolated Python 3.6 TensorFlow 1.6 Edward 1.3.5 environment; patched indentation Python 3 print and HDF5 byte-string metadata.,10,182.9402,207.9224,0.6445000000000001,2.01,73233
8,VAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Latent-dimension sensitivity,git,CZI-Latent-Assessment,Python legacy,Source import verified,CZI VAE script checked out; Keras import path patched; py_compile and dependency imports verified.,10,207.2242,1994.1385,0.819,3.161,73233
9,scvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Legacy visualization,git,scvis-dev,Python legacy,installed_verified,pip installed from cloned source; import verified in Python legacy.,10,2032.8105,9444.5761,0.5,2.085,73233
10,VASC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Legacy deep method,git,VASC,Python legacy,Source import verified,Source import verified after Keras merge compatibility patch.,10,2446.00895,25268.5643,0.7355,4.152,73233
