source_role,relative_path,rows,columns,columns_preview
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S10_simulated_robustness_atlas_source_data.csv,66307,15,parent_method; score; perturbation_axis; method_order; panel_source; method_id; method_raw; metric; value; dataset_category; dataset_id; structure_table
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S11_scVI_reference_atlas_source_data.csv,215,24,n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment; dimension
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S12_latent_dimension_atlas_source_data.csv,520,38,metric_sample_size; n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S13_workflow_atlas_source_data.csv,192,27,metric_sample_size; n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S14_input_gene_atlas_source_data.csv,480,34,metric_sample_size; n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S15_reproducibility_coverage_atlas_source_data.csv,185,27,method; language; role; source; install_channel; package_or_repo; environment; status; notes; commit; method_id; parent_method
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S1_method_catalog_atlas_source_data.csv,30,13,method_id; parent_method; benchmark_scope; method_family_raw; method_family; implementation_principle; implementation_language; source_or_url; publication_year; reference; is_variant; variant_note
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S2_full_dataset_atlas_source_data.csv,209,34,atlas_layer; dataset_type; source_table; source_row; dataset_label; dataset_group; source_repository; species; tissue_or_cell_type; condition; cells; cell_count_text
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S3_real_dataset_landscape_atlas_source_data.csv,49,10,category; dataset; cells; genes; sparsity_pct; cell_types; size_mb; Unnamed: 7; dataset_type; atlas_layer
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S4_simulated_parameter_landscape_atlas_source_data.csv,50,11,param_group; param_value; cells; genes; sparsity_pct; n_batches; n_groups; size_mb; dataset_type; atlas_layer; dataset_label
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S5_full_score_atlas_source_data.csv,225,16,method_id; local; global; kmeans; louvain; spectral; runtime_score; memory_score; stability_median; overall_mean; source; method_raw
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S6_local_structure_atlas_source_data.csv,12447,11,method_id; method_raw; parent_method; metric; value; dataset_category; dataset_id; structure_table; method_order; collection; sim_axis
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S7_label_local_atlas_source_data.csv,17979,11,method_id; method_raw; parent_method; metric; value; dataset_category; dataset_id; structure_table; method_order; collection; sim_axis
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S8_global_geometry_atlas_source_data.csv,13830,11,method_id; method_raw; parent_method; metric; value; dataset_category; dataset_id; structure_table; method_order; collection; sim_axis
supplementary_figure_panel_data,final_supplementary_atlas_package\source_data\panel_data\Supplementary_Figure_S9_clustering_atlas_source_data.csv,20730,11,method_raw; value; method_id; parent_method; dataset_category; dataset_id; clustering_algorithm; metric; method_order; collection; sim_axis
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\canonical_method_manifest.csv,30,13,method_id; parent_method; benchmark_scope; method_family_raw; method_family; implementation_principle; implementation_language; source_or_url; publication_year; reference; is_variant; variant_note
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\canonical_real_dataset_atlas_from_supplementary_table_s2.csv,50,15,atlas_layer; dataset_type; source_table; source_row; dataset_label; dataset_group; source_repository; species; tissue_or_cell_type; condition; cells; cell_count_text
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\canonical_simulated_dataset_atlas_from_excel.csv,50,11,param_group; param_value; cells; genes; sparsity_pct; n_batches; n_groups; size_mb; dataset_type; atlas_layer; dataset_label
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\canonical_source_table_checks.csv,8,3,check; value; expected
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\canonical_source_table_manifest.csv,16,4,table; rows; columns; path
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\excel_real_dataset_detail_rows.csv,49,10,category; dataset; cells; genes; sparsity_pct; cell_types; size_mb; Unnamed: 7; dataset_type; atlas_layer
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\original_clustering_raw_long.csv,40830,9,method_raw; value; method_id; parent_method; dataset_category; dataset_id; clustering_algorithm; metric; source_file
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\original_efficiency_scaling_long.csv,247,7,method_raw; method_id; parent_method; n_cells; peak_memory_gb; runtime_seconds; source_file
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\original_score_long.csv,225,6,method_raw; method_id; parent_method; score_domain; score; source_file
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\original_score_matrix.csv,29,10,method_id; local; global; kmeans; louvain; spectral; runtime_score; memory_score; stability_median; overall_mean
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\original_stability_score_long.csv,252,6,method_raw; method_id; parent_method; perturbation_axis; score; source_file
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\original_topology_raw_long.csv,92996,9,method_raw; method_id; parent_method; metric; value; dataset_category; dataset_id; topology_table; source_file
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\repository_dataset_availability.csv,197,5,availability_source; dataset_id; has_cell_metadata; has_counts_matrix; relative_path
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\targeted_control_dataset_manifest.csv,60,11,dataset_group; dataset_id; matrix_path_or_source; label_or_metadata_path; n_cells; n_genes; label_status; availability; planned_use; atlas_layer; dataset_type
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\targeted_dimension_sensitivity.csv,640,41,metric_sample_size; n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\targeted_input_gene_sensitivity.csv,576,37,metric_sample_size; n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\targeted_scvi_reference.csv,215,28,n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment; dimension
main_figure_source_data,main_figures_final_package\source_data\canonical_source_tables\targeted_visualization_workflow.csv,192,30,metric_sample_size; n_labels; ari; nmi; homogeneity; completeness; silhouette_label; trustworthiness_k30; work_package; dataset_id; method; environment
main_figure_source_data,main_figures_final_package\source_data\figure3\Figure_3_completed_compact_visual_qa_summary.csv,1,8,panel_count; layout; figure_width_in; figure_height_in; method_count; component_count; top_profile_method; top_profile_score
main_figure_source_data,main_figures_final_package\source_data\figure3\Figure_3_completed_raw_variability_summary.csv,26,8,method_id; raw_median; raw_q1; raw_q3; raw_mean; raw_observations; overall_mean; family
