source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells_atlas,cell_count_text,sequencing_technology,year,counting_rule,detail_source_dataset,genes_detail,sparsity_pct_detail,cell_types_detail,size_mb_detail,metadata_status,metadata_note
1.0,yan,yan,GSE36552,Human,Embryonic stem cells,Developmental,90.0,90,Tang,2013.0,single_row_dataset,VASC/yan,3000.0,52.1,6.0,3.0,Detailed metadata available,No additional note.
2.0,Baron,Baron,GSE84133,Human、Mouse,Pancreas,Healthy,10455.0,8569、1886,inDrop,2016.0,baron_human_mouse_counted_as_one_dataset,VASC/Baron,3000.0,91.5,14.0,130.0,Detailed metadata available,Baron human and mouse entries are counted as one manuscript real dataset in the 100-dataset atlas.
3.0,Xin,Xin,GSE81608,Human,Islet Cells,Disease,1600.0,1600,SMARTer,2016.0,single_row_dataset,VASC/Xin,3000.0,92.8,8.0,24.0,Detailed metadata available,No additional note.
4.0,Biase,Biase,GSE57249,Mouse,Embryonic cells,Developmental,56.0,56,SMARTer,2014.0,single_row_dataset,VASC/Biase,3000.0,54.7,4.0,2.0,Detailed metadata available,No additional note.
5.0,Zeisel,Zeisel,GSE60361,Mouse,Brain,Healthy,3005.0,3005,STRT-Seq,2015.0,single_row_dataset,VASC/Zeisel,3000.0,88.0,9.0,50.0,Detailed metadata available,No additional note.
6.0,Goolam,Goolam,E-MTAB-3321,Mouse,Embryonic cells,Developmental,124.0,124,Smart-Seq2,2016.0,single_row_dataset,VASC/Goolam,3000.0,56.9,5.0,4.0,Detailed metadata available,No additional note.
7.0,Pollen,Pollen,SRP041736,Human,cerebral cortex,Developmental,301.0,301,SMARTer,2014.0,single_row_dataset,SIMLR/Pollen,3000.0,27.9,11.0,11.0,Detailed metadata available,No additional note.
8.0,Usoskin,Usoskin,GSE59739,Mouse,Brain,Healthy,622.0,622,STRT-Seq,2014.0,single_row_dataset,SIMLR/Usoskin,3000.0,76.2,4.0,14.0,Detailed metadata available,No additional note.
9.0,Macosko,Macosko,GSE63473,Mouse,Retina,Healthy,44808.0,44808,Drop-Seq,2015.0,single_row_dataset,,,,,,Atlas-level metadata only,Dataset is retained in the 50-real-dataset manuscript atlas; fields not present in the detailed snapshot should be reported as not available rather than inferred.
10.0,Zheng-68 k,Zheng-68 k,SRP073767,Human,PBMCs,Healthy,68579.0,68579,10x Genomics,2017.0,single_row_dataset,,,,,,Atlas-level metadata only,Dataset is retained in the 50-real-dataset manuscript atlas; fields not present in the detailed snapshot should be reported as not available rather than inferred.
