source_collection,metric,datasets,methods,records,median_value,q25_value,q75_value
SIMLR reference datasets,AUC,2,26,58,0.5785,0.5457500000000001,0.60575
SIMLR reference datasets,C_10,2,26,58,0.749,0.5762499999999999,0.83075
SIMLR reference datasets,C_20,2,26,58,0.7324999999999999,0.57,0.829
SIMLR reference datasets,C_30,2,26,58,0.717,0.5625,0.7917500000000001
SIMLR reference datasets,Mrre_false_10,2,26,58,0.656,0.5974999999999999,0.72975
SIMLR reference datasets,Mrre_false_20,2,26,58,0.653,0.599,0.72425
SIMLR reference datasets,Mrre_false_30,2,26,58,0.653,0.5994999999999999,0.7215
SIMLR reference datasets,Mrre_missing_10,2,26,58,0.745,0.58475,0.848
SIMLR reference datasets,Mrre_missing_20,2,26,58,0.741,0.5752499999999999,0.8322499999999999
SIMLR reference datasets,Mrre_missing_30,2,26,58,0.7304999999999999,0.5694999999999999,0.8172499999999999
SIMLR reference datasets,Pearson,2,26,58,0.23049999999999998,0.07475,0.369
SIMLR reference datasets,Qglobal,2,26,58,0.666,0.628,0.707
SIMLR reference datasets,Qlocal,2,26,58,0.2585,0.19775,0.327
SIMLR reference datasets,T_10,2,26,58,0.66,0.60175,0.74025
SIMLR reference datasets,T_20,2,26,58,0.6645000000000001,0.6105,0.7384999999999999
SIMLR reference datasets,T_30,2,26,58,0.668,0.6154999999999999,0.7315
SIMLR reference datasets,aji_10,2,26,58,0.038,0.022,0.13175
SIMLR reference datasets,aji_20,2,26,58,0.0605,0.04025,0.2395
SIMLR reference datasets,aji_30,2,26,58,0.0825,0.062,0.30325
SIMLR reference datasets,centroid_distance,2,26,58,0.6234999999999999,0.429,0.77975
SIMLR reference datasets,k-nearest,2,26,58,0.5,0.25,0.74425
SIMLR reference datasets,kmax,2,26,58,86.5,31.75,138.5
SIMLR reference datasets,knn_10,2,26,58,0.844,0.6900000000000001,0.88625
SIMLR reference datasets,knn_20,2,26,58,0.8254999999999999,0.691,0.8775
SIMLR reference datasets,knn_30,2,26,58,0.769,0.6567500000000001,0.85975
SIMLR reference datasets,nh_10,2,26,58,0.782,0.636,0.863
SIMLR reference datasets,nh_20,2,26,58,0.731,0.6014999999999999,0.82475
SIMLR reference datasets,nh_30,2,26,58,0.6525000000000001,0.52975,0.79525
SIMLR reference datasets,nkr_10,2,26,58,0.0885,0.0385,0.20925
SIMLR reference datasets,nkr_20,2,26,58,0.1215,0.06825,0.36175
SIMLR reference datasets,nkr_30,2,26,58,0.1525,0.101,0.4315
SIMLR reference datasets,random_triplet,2,26,58,0.574,0.53625,0.62675
SIMLR reference datasets,spearman,2,26,58,0.20950000000000002,0.05725,0.36075
SIMLR reference datasets,svm,2,26,58,0.799,0.64875,0.86575
trajectory-inference reference datasets,AUC,20,26,576,0.598,0.5567500000000001,0.695
trajectory-inference reference datasets,C_10,20,26,576,0.8045,0.65925,0.876
trajectory-inference reference datasets,C_20,20,26,576,0.795,0.6555,0.86825
trajectory-inference reference datasets,C_30,20,26,576,0.786,0.652,0.867
trajectory-inference reference datasets,Mrre_false_10,20,26,576,0.6455,0.577,0.829
trajectory-inference reference datasets,Mrre_false_20,20,26,576,0.644,0.577,0.8232499999999999
trajectory-inference reference datasets,Mrre_false_30,20,26,576,0.645,0.577,0.81225
trajectory-inference reference datasets,Mrre_missing_10,20,26,576,0.814,0.662,0.881
trajectory-inference reference datasets,Mrre_missing_20,20,26,576,0.8085,0.6567500000000001,0.871
trajectory-inference reference datasets,Mrre_missing_30,20,26,576,0.8015000000000001,0.652,0.865
trajectory-inference reference datasets,Pearson,20,26,576,0.4055,0.2105,0.583
trajectory-inference reference datasets,Qglobal,20,26,576,0.7825,0.675,0.843
trajectory-inference reference datasets,Qlocal,20,26,576,0.3315,0.205,0.409
trajectory-inference reference datasets,T_10,20,26,576,0.645,0.57875,0.848
trajectory-inference reference datasets,T_20,20,26,576,0.647,0.579,0.85225
trajectory-inference reference datasets,T_30,20,26,576,0.648,0.58075,0.8565
trajectory-inference reference datasets,aji_10,20,26,576,0.017,0.006,0.09925
trajectory-inference reference datasets,aji_20,20,26,576,0.027,0.01,0.184
trajectory-inference reference datasets,aji_30,20,26,576,0.034,0.014,0.251
