source_collection,clustering_algorithm,metric,datasets,methods,records,median_value,q25_value,q75_value
SIMLR reference datasets,kmeans,ARI,2,26,58,0.55,0.375,0.6775
SIMLR reference datasets,kmeans,COMP,2,26,58,0.66,0.4225,0.8175
SIMLR reference datasets,kmeans,HOMO,2,26,58,0.665,0.43,0.785
SIMLR reference datasets,kmeans,NMI,2,26,58,0.655,0.4225,0.795
SIMLR reference datasets,kmeans,SIL,2,26,58,0.55,0.49,0.6475
SIMLR reference datasets,louvain,ARI,2,26,58,0.305,0.2,0.585
SIMLR reference datasets,louvain,COMP,2,26,58,0.45,0.3225,0.7375
SIMLR reference datasets,louvain,HOMO,2,26,58,0.72,0.5774999999999999,0.8075000000000001
SIMLR reference datasets,louvain,NMI,2,26,58,0.575,0.4125,0.75
SIMLR reference datasets,louvain,SIL,2,26,58,0.415,0.3425,0.5175000000000001
SIMLR reference datasets,spectral,ARI,2,26,58,0.49,0.3075,0.5725
SIMLR reference datasets,spectral,COMP,2,26,58,0.605,0.385,0.7275
SIMLR reference datasets,spectral,HOMO,2,26,58,0.615,0.4025,0.7375
SIMLR reference datasets,spectral,NMI,2,26,58,0.61,0.3925,0.73
SIMLR reference datasets,spectral,SIL,2,26,58,0.42,0.3125,0.5
trajectory-inference reference datasets,kmeans,ARI,20,26,576,0.31,0.1,0.61
trajectory-inference reference datasets,kmeans,COMP,20,26,576,0.43,0.19,0.7
trajectory-inference reference datasets,kmeans,HOMO,20,26,576,0.53,0.2575,0.6924999999999999
trajectory-inference reference datasets,kmeans,NMI,20,26,576,0.47,0.22,0.69
trajectory-inference reference datasets,kmeans,SIL,20,26,576,0.51,0.41,0.59
trajectory-inference reference datasets,louvain,ARI,20,26,576,0.09,0.02,0.36
trajectory-inference reference datasets,louvain,COMP,20,26,576,0.21,0.13,0.51
trajectory-inference reference datasets,louvain,HOMO,20,26,576,0.64,0.39,0.76
trajectory-inference reference datasets,louvain,NMI,20,26,576,0.32,0.19,0.5825
trajectory-inference reference datasets,louvain,SIL,20,26,576,0.32,0.23,0.45
trajectory-inference reference datasets,spectral,ARI,20,26,576,0.27,0.09,0.52
trajectory-inference reference datasets,spectral,COMP,20,26,576,0.4,0.18,0.6525000000000001
trajectory-inference reference datasets,spectral,HOMO,20,26,576,0.52,0.25,0.69
trajectory-inference reference datasets,spectral,NMI,20,26,576,0.46,0.21,0.67
trajectory-inference reference datasets,spectral,SIL,20,26,576,0.41,0.33,0.5
VASC reference datasets,kmeans,ARI,6,26,173,0.51,0.18,0.66
VASC reference datasets,kmeans,COMP,6,26,173,0.58,0.3,0.75
VASC reference datasets,kmeans,HOMO,6,26,173,0.71,0.33,0.81
VASC reference datasets,kmeans,NMI,6,26,173,0.63,0.31,0.79
VASC reference datasets,kmeans,SIL,6,26,173,0.57,0.46,0.72
VASC reference datasets,louvain,ARI,6,26,173,0.16,0.09,0.54
VASC reference datasets,louvain,COMP,6,26,173,0.39,0.23,0.66
VASC reference datasets,louvain,HOMO,6,26,173,0.68,0.31,0.79
VASC reference datasets,louvain,NMI,6,26,173,0.51,0.27,0.71
VASC reference datasets,louvain,SIL,6,26,173,0.42,0.3,0.6
VASC reference datasets,spectral,ARI,6,26,173,0.4,0.15,0.59
VASC reference datasets,spectral,COMP,6,26,173,0.52,0.25,0.7
VASC reference datasets,spectral,HOMO,6,26,173,0.66,0.3,0.79
VASC reference datasets,spectral,NMI,6,26,173,0.57,0.27,0.73
VASC reference datasets,spectral,SIL,6,26,173,0.44,0.35,0.54
real-data benchmark collection,kmeans,ARI,5,26,145,0.35,0.24,0.62
real-data benchmark collection,kmeans,COMP,5,26,145,0.53,0.37,0.73
real-data benchmark collection,kmeans,HOMO,5,26,145,0.55,0.39,0.79
real-data benchmark collection,kmeans,NMI,5,26,145,0.55,0.38,0.75
real-data benchmark collection,kmeans,SIL,5,26,145,0.54,0.44,0.65
real-data benchmark collection,louvain,ARI,5,26,145,0.14,0.11,0.28
real-data benchmark collection,louvain,COMP,5,26,145,0.33,0.26,0.48
real-data benchmark collection,louvain,HOMO,5,26,145,0.56,0.4,0.84
real-data benchmark collection,louvain,NMI,5,26,145,0.45,0.32,0.58
real-data benchmark collection,louvain,SIL,5,26,145,0.32,0.26,0.42
real-data benchmark collection,spectral,ARI,5,26,145,0.32,0.22,0.52
real-data benchmark collection,spectral,COMP,5,26,145,0.49,0.36,0.67
real-data benchmark collection,spectral,HOMO,5,26,145,0.57,0.38,0.77
real-data benchmark collection,spectral,NMI,5,26,145,0.52,0.38,0.69
real-data benchmark collection,spectral,SIL,5,26,145,0.42,0.34,0.5
scDesign3 reference datasets,kmeans,ARI,15,26,430,0.23,0.09,0.39
scDesign3 reference datasets,kmeans,COMP,15,26,430,0.37,0.15,0.49
scDesign3 reference datasets,kmeans,HOMO,15,26,430,0.39,0.17,0.55
scDesign3 reference datasets,kmeans,NMI,15,26,430,0.38,0.14250000000000002,0.52
scDesign3 reference datasets,kmeans,SIL,15,26,430,0.44,0.39,0.53
scDesign3 reference datasets,louvain,ARI,15,26,430,0.07,0.02,0.13
scDesign3 reference datasets,louvain,COMP,15,26,430,0.25,0.1125,0.32
scDesign3 reference datasets,louvain,HOMO,15,26,430,0.52,0.27,0.7075
scDesign3 reference datasets,louvain,NMI,15,26,430,0.35,0.17,0.43
scDesign3 reference datasets,louvain,SIL,15,26,430,0.3,0.23,0.37
scDesign3 reference datasets,spectral,ARI,15,26,430,0.21,0.08,0.38
scDesign3 reference datasets,spectral,COMP,15,26,430,0.375,0.16,0.49
scDesign3 reference datasets,spectral,HOMO,15,26,430,0.4,0.16,0.5575000000000001
scDesign3 reference datasets,spectral,NMI,15,26,430,0.39,0.16,0.52
scDesign3 reference datasets,spectral,SIL,15,26,430,0.37,0.3,0.46
simulated perturbation atlas,kmeans,ARI,48,25,1340,0.53,0.01,0.98
simulated perturbation atlas,kmeans,COMP,48,25,1340,0.59,0.02,0.96
simulated perturbation atlas,kmeans,HOMO,48,25,1340,0.6,0.02,0.96
simulated perturbation atlas,kmeans,NMI,48,25,1340,0.595,0.02,0.96
simulated perturbation atlas,kmeans,SIL,48,25,1340,0.55,0.4,0.78
simulated perturbation atlas,louvain,ARI,48,25,1340,0.18,0.0075,0.26
simulated perturbation atlas,louvain,COMP,48,25,1340,0.37,0.03,0.47
simulated perturbation atlas,louvain,HOMO,48,25,1340,0.8,0.05,0.99
simulated perturbation atlas,louvain,NMI,48,25,1340,0.5,0.03,0.64
simulated perturbation atlas,louvain,SIL,48,25,1340,0.27,0.23,0.33
